Sample,DurationHours,Consumption,Color,Cover,Valid,Rate,TimeofDay,Conversion
1,12.5,21.3,Green,Yes,0,110.678,Evening,1383.4718
2,12.5,12.1,Green,No,0,55.554,Evening,694.4286
3,12.5,26.7,Green,Yes,0,143.033,Evening,1787.9102
4,7,22.6,Green,No,1,211.548,Afternoon,1480.8366
5,3,11.1,Green,Yes,1,206.511,Morning,619.5326
6,3,15.9,Green,No,1,326.344,Morning,979.0334
7,3,11.4,Green,Yes,1,214.000,Morning,642.0014
8,9,26.7,Green,No,0,198.657,Afternoon,1787.9102
9,5.5,11.4,Green,No,1,116.728,Morning,642.0014
10,4,26.7,Green,Yes,0,446.978,Morning,1787.9102
11,1,2.9,Green,No,1,5.385,Morning,5.3854
12,3.5,18.7,Green,Yes,1,339.641,Morning,1188.7422
13,2,11.3,Green,No,1,317.256,Morning,634.5118
14,1.5,13.3,Green,No,1,522.869,Afternoon,784.3038
15,1.5,9.5,Green,Yes,1,333.133,Afternoon,499.699
16,1.5,7.6,Green,Yes,1,238.264,Afternoon,357.3966
17,1.5,12.7,Green,No,1,492.911,Evening,739.3662
18,1,7.6,Green,Yes,1,357.397,Evening,357.3966
19,2,12.7,Green,Yes,1,369.683,Evening,739.3662
20,3.5,26.7,Green,Yes,0,510.831,Morning,1787.9102
21,1,10.8,Green,No,1,597.064,Morning,597.0638
22,1,8.4,Green,Yes,1,417.313,Morning,417.3134
23,1.5,11.4,Green,No,1,428.001,Evening,642.0014
1,12.5,9.1,Yellow,No,0,37.579,Evening,469.7406
2,12.5,26.7,Yellow,Yes,0,143.033,Evening,1787.9102
3,12.5,26.7,Yellow,No,0,143.033,Evening,1787.9102
4,7,23.5,Yellow,Yes,1,221.178,Afternoon,1548.243
5,3,19.1,Yellow,No,1,406.234,Morning,1218.7006
6,3,15.2,Yellow,Yes,1,308.869,Morning,926.6062
7,3,23.9,Yellow,No,1,526.067,Morning,1578.2014
8,9,26.7,Yellow,Yes,0,198.657,Afternoon,1787.9102
9,5.5,12.7,Yellow,Yes,1,134.430,Morning,739.3662
10,4,26.7,Yellow,No,0,446.978,Morning,1787.9102
11,1,6.35,Yellow,Yes,1,263.777,Morning,263.7766
12,3.5,25.7,Yellow,No,1,489.433,Morning,1713.0142
13,2,7.62,Yellow,Yes,1,179.447,Morning,358.89452
14,1.5,9.5,Yellow,Yes,1,333.133,Afternoon,499.699
15,1.5,11.4,Yellow,No,1,428.001,Afternoon,642.0014
16,1.5,15.9,Yellow,No,1,652.689,Afternoon,979.0334
17,1.5,11.6,Yellow,Yes,1,437.987,Evening,656.9806
18,1,5.6,Yellow,No,1,207.605,Evening,207.6046
19,2,11.4,Yellow,No,1,321.001,Evening,642.0014
20,3.5,26.7,Yellow,No,0,510.831,Morning,1787.9102
21,1,5.7,Yellow,Yes,1,215.094,Morning,215.0942
22,1,6,Yellow,No,1,237.563,Morning,237.563
23,1.5,6.4,Yellow,Yes,1,178.348,Evening,267.5214